,id,nuclear_id,nuclear_area,nuclear_avg,nuclear_stdev,number_nucleoli,nucleolar_area,nucleolar_avg,nucleolar_stdev,third_nucavg,third_nucstdev,third_nuclavg,third_nuclstdev
40,40,12,1759.0,1772.4196588940745,1626.9981660539431,4,37.0,5239.671370181341,803.4388450042223,2139.9923886906404,3099.3568154170352,10970.528482391772,2434.228075193382
41,41,13,1841.0,1917.3929398432786,1758.812532734374,3,34.0,6387.212136808369,1025.407149311091,1964.4604115728714,3254.2664382229295,12844.56314560912,2869.1754546488455
42,42,13,1841.0,1917.3929398432786,1758.812532734374,3,73.0,7927.816566188845,1864.6650762963664,1964.4604115728714,3254.2664382229295,10900.926397016541,2448.636567487871
43,43,13,1841.0,1917.3929398432786,1758.812532734374,3,29.0,6629.599537290624,1330.4045591865065,1964.4604115728714,3254.2664382229295,10848.00572984219,1679.1173782523347
44,44,14,2400.0,1850.3985953152646,1641.6409052620513,6,31.0,6873.912311951734,1057.9575914195066,1759.6136734047552,2509.646488545976,10837.85827435922,1517.673880465728
45,45,14,2400.0,1850.3985953152646,1641.6409052620513,6,34.0,6164.65559742028,818.9707099788624,1759.6136734047552,2509.646488545976,8283.152004070686,1468.0718930980677
46,46,14,2400.0,1850.3985953152646,1641.6409052620513,6,49.0,7791.499888162125,1984.6877408621006,1759.6136734047552,2509.646488545976,9714.358301066412,2258.222362188763
47,47,14,2400.0,1850.3985953152646,1641.6409052620513,6,12.0,5784.233240095463,583.0892091570936,1759.6136734047552,2509.646488545976,6612.375827126998,890.6794174561417
48,48,14,2400.0,1850.3985953152646,1641.6409052620513,6,11.0,5602.276171565602,474.33230585266733,1759.6136734047552,2509.646488545976,9951.564135415474,1396.021693564549
49,49,14,2400.0,1850.3985953152646,1641.6409052620513,6,20.0,6115.149897983715,599.2097750093479,1759.6136734047552,2509.646488545976,7932.752110109848,923.236100943358
50,50,15,2272.0,1911.2108987956028,2125.599253818406,3,26.0,7405.515619064963,908.2419363528915,1802.5849784622935,3076.707051368654,11135.060780698615,2739.4480029661177
51,51,15,2272.0,1911.2108987956028,2125.599253818406,3,17.0,7656.013325046833,938.6033627457716,1802.5849784622935,3076.707051368654,10834.074089862792,1575.138212639189
52,52,16,3008.0,2187.47592133817,2026.8847940481526,3,33.0,7771.091462556899,1114.8013853810821,1885.5661698805816,2623.569922290325,8776.899387387768,1526.612642256119
53,53,15,2272.0,1911.2108987956028,2125.599253818406,3,109.0,9403.787157820909,2288.9990439716876,1802.5849784622935,3076.707051368654,11682.747684218928,1616.4365236073265
54,54,16,3008.0,2187.47592133817,2026.8847940481526,3,64.0,9500.78044583121,2292.917466042647,1885.5661698805816,2623.569922290325,11729.007462402871,1907.9060109589884
55,55,16,3008.0,2187.47592133817,2026.8847940481526,3,80.0,9144.26302665933,2294.402116301413,1885.5661698805816,2623.569922290325,10674.259396027463,2101.4898738847373
56,56,17,1574.0,2475.3257066160472,2265.655399731954,2,75.0,7408.8862844226915,1881.587416194097,2295.1126022199264,3565.7511127902294,10409.24648257476,2173.319550075039
57,57,17,1574.0,2475.3257066160472,2265.655399731954,2,119.0,8042.367071298919,1841.85105662741,2295.1126022199264,3565.7511127902294,11278.418313572476,2587.3521077429223
